case,date,descrip,lat,long
JE121773,01/24/2021 09:00:00 AM,ARSON,41.766128857,-87.672355549
JE256934,06/07/2021 11:35:00 AM,ARSON,41.661016233,-87.642570053
JE142135,02/15/2021 03:43:00 AM,ARSON,41.791763159,-87.657240734
JE191894,04/07/2021 02:45:00 AM,ARSON,41.874758212,-87.762411646
JD451021,12/06/2020 05:40:00 AM,ARSON,41.914495392,-87.727697758
JE112197,01/14/2021 05:59:00 AM,ARSON,41.689876476,-87.622000047
JD467367,12/23/2020 11:03:00 AM,ARSON,41.803765128,-87.655119329
JE149449,02/23/2021 02:37:00 AM,ARSON,41.994870554,-87.673415154
JE112960,01/14/2021 07:49:00 PM,ARSON,41.884625648,-87.766664532
JE136814,02/09/2021 12:00:00 PM,ARSON,41.876723264,-87.694698972
JE174743,03/20/2021 09:10:00 PM,ARSON,41.947851514,-87.755396798
JE143558,02/10/2021 05:24:00 AM,ARSON,41.791763159,-87.657240734
JE192936,04/07/2021 11:24:00 PM,ARSON,41.782062584,-87.68493666
JD280761,06/30/2020 04:57:00 AM,ARSON,41.732549247,-87.630237968
JE113345,01/15/2021 10:23:00 AM,ARSON,41.955233623,-87.748385375
JE226128,05/10/2021 08:30:00 PM,ARSON,41.75113362,-87.558946894
JD273212,06/23/2020 07:35:00 AM,ARSON,41.880686838,-87.728832326
JE207912,04/23/2021 01:15:00 AM,ARSON,41.764468432,-87.697125648
JE151060,02/24/2021 02:54:00 PM,ARSON,41.892661286,-87.686753867
JE146087,02/19/2021 03:00:00 PM,ARSON,41.860236084,-87.704198291
JE164317,03/09/2021 09:43:00 PM,ARSON,41.736855003,-87.6703915
JD381696,09/28/2020 04:51:00 AM,ARSON,41.812983316,-87.687038615
JD450933,12/06/2020 01:11:00 AM,ARSON,41.826913791,-87.621670187
JE163399,03/09/2021 01:21:00 AM,ARSON,41.876016906,-87.738441536
JE138208,02/10/2021 05:58:00 PM,ARSON,41.850773179,-87.640194606
JE164201,03/09/2021 06:15:00 PM,ARSON,41.736855003,-87.6703915
JD464995,12/21/2020 05:24:00 AM,ARSON,41.847010778,-87.723398251
JE164170,03/09/2021 06:36:00 PM,ARSON,41.869960349,-87.730548864
JE193918,04/08/2021 11:27:00 PM,ARSON,41.876466294,-87.660273952
JE193675,04/08/2021 06:05:00 PM,ARSON,41.878563206,-87.747983503
JE140031,02/12/2021 04:02:00 PM,ARSON,41.893679767,-87.75800467
JE174919,03/21/2021 03:20:00 AM,ARSON,41.860129545,-87.726214031
JE162334,03/08/2021 12:00:00 AM,ARSON,41.882279543,-87.762278595
JD368670,09/16/2020 02:31:00 AM,ARSON,41.765778056,-87.611334886
JE241886,05/25/2021 02:55:00 AM,ARSON,41.885291047,-87.66815409
JE227250,05/11/2021 11:02:00 PM,ARSON,41.876748835,-87.747900918
JE165840,03/11/2021 11:56:00 AM,ARSON,41.734354886,-87.581665988
JE166661,03/11/2021 06:00:00 PM,ARSON,42.009033578,-87.671079485
JE175877,03/22/2021 06:33:00 AM,ARSON,41.743240382,-87.60501372
JD368661,09/16/2020 01:20:00 AM,ARSON,41.797262841,-87.768542347
JE153733,02/27/2021 06:37:00 AM,ARSON,41.847737402,-87.701457979
JE226347,05/11/2021 06:50:00 AM,ARSON,41.961634451,-87.725398471
JE167410,03/12/2021 10:55:00 PM,ARSON,41.897578074,-87.702381037
JE162004,03/07/2021 04:05:00 PM,ARSON,41.703954619,-87.628191222
JE197886,04/13/2021 04:39:00 AM,ARSON,41.873538231,-87.716988633
JE176925,03/23/2021 12:25:00 AM,ARSON,41.941765823,-87.729983298
JE155577,03/01/2021 05:07:00 AM,ARSON,41.854328904,-87.730519471
JE154810,02/28/2021 07:35:00 AM,ARSON,41.886284525,-87.760300204
JE121500,01/23/2021 07:33:00 PM,ARSON,41.673689531,-87.628543613
JE177631,03/23/2021 04:40:00 PM,ARSON,41.767196349,-87.63342646
JE132801,02/04/2021 10:17:00 PM,ARSON,41.686312234,-87.633729027
JE176972,03/23/2021 03:41:00 AM,ARSON,41.903140345,-87.757144655
JE152918,01/17/2021 05:10:00 PM,ARSON,41.878223415,-87.62704979
JE156538,03/02/2021 12:01:00 AM,ARSON,41.852868298,-87.63091491
JE257859,06/08/2021 04:42:00 AM,ARSON,41.778287281,-87.686059909
JE196591,04/11/2021 07:40:00 PM,ARSON,41.825070351,-87.699574932
JE196016,04/11/2021 05:00:00 AM,ARSON,41.755008548,-87.730148696
JE169071,03/14/2021 09:00:00 PM,ARSON,41.653658798,-87.535383128
JE178914,03/24/2021 03:17:00 PM,ARSON,41.890988065,-87.621021833
JE178960,03/25/2021 01:54:00 AM,ARSON,41.901663577,-87.718958959
JD304506,07/20/2020 11:29:00 PM,ARSON,41.701104247,-87.617255022
JE169221,03/15/2021 03:04:00 AM,ARSON,41.901627904,-87.718959301
JE169226,03/15/2021 03:04:00 AM,ARSON,41.901737687,-87.718961922
JE169281,03/15/2021 07:12:00 AM,ARSON,41.748194489,-87.641530025
JE169225,03/15/2021 03:04:00 AM,ARSON,41.901608695,-87.718959485
JD304225,07/20/2020 05:30:00 PM,ARSON,41.913972106,-87.732563455
JE258922,06/08/2021 07:25:00 PM,ARSON,41.666981056,-87.634622762
JE171059,03/16/2021 11:30:00 PM,ARSON,41.898031667,-87.701028537
JE257806,06/08/2021 01:47:00 AM,ARSON,41.756057234,-87.654929158
JE196726,04/12/2021 12:20:00 AM,ARSON,41.9642344,-87.734499878
JE257959,06/08/2021 08:25:00 AM,ARSON,41.877993111,-87.72437056
JD274136,06/23/2020 09:51:00 PM,ARSON,41.789756316,-87.711514062
JE229504,05/14/2021 05:00:00 AM,ARSON,41.78414577,-87.666762284
JE210087,04/25/2021 10:30:00 PM,ARSON,41.709080121,-87.537697571
JE210170,04/26/2021 02:45:00 AM,ARSON,41.915669143,-87.737514969
JE228342,05/13/2021 12:15:00 AM,ARSON,41.68075847,-87.621785651
JD274317,06/24/2020 03:02:00 AM,ARSON,41.798330781,-87.703692919
JD274825,06/24/2020 01:43:00 PM,ARSON,41.88503407,-87.69393315
JE229568,05/13/2021 11:00:00 PM,ARSON,41.896590096,-87.771036216
JD335293,08/14/2020 02:00:00 PM,ARSON,41.774330666,-87.708484611
JE180173,03/26/2021 11:03:00 AM,ARSON,41.767829035,-87.650549297
JE198657,04/13/2021 07:27:00 PM,ARSON,41.778007599,-87.607135518
JE228435,05/13/2021 05:44:00 AM,ARSON,41.866125842,-87.728312353
JE181864,03/27/2021 11:34:00 PM,ARSON,41.869510752,-87.722842961
JE257667,06/07/2021 09:38:00 PM,ARSON,41.688064408,-87.6223129
JD334928,08/16/2020 09:00:00 PM,ARSON,41.749838557,-87.625794674
JD275167,06/24/2020 06:35:00 PM,ARSON,41.868418135,-87.720191573
JE163727,03/09/2021 12:00:00 PM,ARSON,41.736855003,-87.6703915
JE200485,04/15/2021 06:20:00 PM,ARSON,41.742710224,-87.634088181
JE222230,05/07/2021 04:05:00 AM,ARSON,41.872742184,-87.709326156
JE181933,03/28/2021 02:27:00 AM,ARSON,41.880480185,-87.746662406
JE182743,03/28/2021 11:50:00 PM,ARSON,41.821516342,-87.627537568
JE200104,04/15/2021 12:00:00 AM,ARSON,41.750131417,-87.549962192
JE143521,02/17/2021 04:35:00 AM,ARSON,41.748458232,-87.605159961
JE182966,03/29/2021 04:48:00 AM,ARSON,41.750054955,-87.63064798
JE183742,03/29/2021 10:36:00 PM,ARSON,41.929013417,-87.723231421
JE211261,04/27/2021 12:45:00 AM,ARSON,41.850552999,-87.712525898
JE245240,05/27/2021 09:35:00 PM,ARSON,41.752662035,-87.563824705
JE183900,03/30/2021 07:45:00 AM,ARSON,41.877016813,-87.731261005
JE184169,03/30/2021 12:25:00 PM,ARSON,41.770109113,-87.648171669
JE183825,03/30/2021 02:05:00 AM,ARSON,41.757400139,-87.599275389
JE183866,03/30/2021 05:50:00 AM,ARSON,41.952993184,-87.731175148
JE184786,03/30/2021 09:36:00 PM,ARSON,41.873850926,-87.762625338
JE201831,04/17/2021 07:01:00 AM,ARSON,41.764468432,-87.697125648
JE260242,06/09/2021 10:53:00 PM,ARSON,41.932630666,-87.691583692
JE231419,05/15/2021 08:50:00 PM,ARSON,41.773510439,-87.623943531
JE260161,06/09/2021 09:22:00 PM,ARSON,41.793557177,-87.674589483
JE185333,03/31/2021 01:48:00 PM,ARSON,41.851183731,-87.714986335
JD368678,09/16/2020 02:18:00 AM,ARSON,41.768310932,-87.684939523
JD349123,08/29/2020 07:59:00 AM,ARSON,41.902623812,-87.729257273
JE231552,05/16/2021 12:40:00 AM,ARSON,41.849341811,-87.700282365
JE149872,02/23/2021 12:35:00 PM,ARSON,41.79486342,-87.664608602
JE213569,04/29/2021 05:21:00 AM,ARSON,41.745299141,-87.603799525
JE231575,05/16/2021 01:14:00 AM,ARSON,41.926229636,-87.798994378
JE232492,05/16/2021 11:30:00 PM,ARSON,41.874857845,-87.737721597
JE245960,05/28/2021 10:47:00 AM,ARSON,41.882004418,-87.728897024
JE186769,04/02/2021 12:04:00 AM,ARSON,41.89765683,-87.726152565
JE232633,05/17/2021 06:35:00 AM,ARSON,41.86356331,-87.733659679
JE232770,05/17/2021 10:00:00 AM,ARSON,41.976413907,-87.653798082
JE181332,03/27/2021 12:00:00 PM,ARSON,41.987308297,-87.784013657
JE207293,04/23/2021 12:00:00 AM,ARSON,41.73964142,-87.567274171
JE103670,01/05/2021 07:22:00 AM,ARSON,41.969830479,-87.769304087
JD276280,06/25/2020 08:18:00 PM,ARSON,41.946790156,-87.68414133
JE187921,04/03/2021 06:34:00 AM,ARSON,41.743240382,-87.60501372
JE188841,04/03/2021 11:30:00 PM,ARSON,41.65320955,-87.53867094
JE188788,04/03/2021 11:41:00 PM,ARSON,41.652957528,-87.543515089
JE188680,04/03/2021 08:20:00 PM,ARSON,41.784245517,-87.714515274
JE195058,04/10/2021 03:39:00 AM,ARSON,41.793669876,-87.66370422
JE203504,04/19/2021 03:30:00 AM,ARSON,41.792195498,-87.604958508
JE203499,04/19/2021 03:18:00 AM,ARSON,41.996623885,-87.694726628
JE200360,04/15/2021 04:50:00 PM,ARSON,41.885684922,-87.749677587
JE233671,05/18/2021 12:00:00 AM,ARSON,41.868233931,-87.704898219
JE210112,04/25/2021 11:23:00 PM,ARSON,41.887313857,-87.722544953
JE233633,05/17/2021 10:40:00 PM,ARSON,41.900019065,-87.715246389
JE205137,04/20/2021 06:34:00 PM,ARSON,41.872630278,-87.718598203
JD276381,06/25/2020 10:45:00 PM,ARSON,41.931096211,-87.778957962
JE216505,05/01/2021 10:37:00 PM,ARSON,41.679772098,-87.629172776
JE248324,05/30/2021 09:57:00 PM,ARSON,41.861988669,-87.727492329
JE216627,05/02/2021 12:44:00 AM,ARSON,41.899641943,-87.714012153
JE216769,05/02/2021 03:30:00 AM,ARSON,41.894301538,-87.721156134
JD305165,07/21/2020 03:18:00 PM,ARSON,41.701007538,-87.618471838
JE229486,05/14/2021 02:51:00 AM,ARSON,41.925946342,-87.670436529
JE218821,05/03/2021 09:41:00 PM,ARSON,41.89046289,-87.747030156
JD306752,07/23/2020 12:45:00 AM,ARSON,41.872743642,-87.643838234
JE248553,05/31/2021 04:04:00 AM,ARSON,41.925044666,-87.723118572
JD444636,11/29/2020 05:20:00 AM,ARSON,41.772086985,-87.672877266
JE218925,05/04/2021 01:45:00 AM,ARSON,41.754728984,-87.561443469
JE236837,05/20/2021 08:35:00 PM,ARSON,41.707733327,-87.553406929
JE248565,05/31/2021 05:01:00 AM,ARSON,41.758110012,-87.6017156
JE248650,05/31/2021 08:54:00 AM,ARSON,41.721689256,-87.626539467
JE249200,05/31/2021 07:23:00 PM,ARSON,41.904157892,-87.747272225
JE213235,04/28/2021 06:08:00 PM,ARSON,41.793258435,-87.654852388
JD276824,06/26/2020 01:10:00 AM,ARSON,41.813788084,-87.691076661
JE237251,05/21/2021 12:00:00 AM,ARSON,41.896590096,-87.771036216
JD276958,06/26/2020 03:58:00 AM,ARSON,41.752271749,-87.608898923
JE249507,06/01/2021 01:39:00 AM,ARSON,41.908880902,-87.731391511
JE221093,05/06/2021 12:17:00 AM,ARSON,41.946697564,-87.775084408
JE221165,05/06/2021 02:35:00 AM,ARSON,41.853485391,-87.725638189
JE250582,06/01/2021 11:15:00 PM,ARSON,41.846991348,-87.719750256
JE250574,06/01/2021 11:11:00 PM,ARSON,41.84478445,-87.731060493
JE250252,06/01/2021 05:10:00 PM,ARSON,41.726705216,-87.661190969
JE249516,06/01/2021 01:39:00 AM,ARSON,41.908867182,-87.73139164
JE252138,06/03/2021 11:28:00 AM,ARSON,41.85177455,-87.704519796
JE222167,05/07/2021 12:20:00 AM,ARSON,41.75082153,-87.597906451
JE220232,05/06/2021 10:00:00 AM,ARSON,41.766196339,-87.635955586
JD305761,07/22/2020 04:55:00 AM,ARSON,41.873437053,-87.726330444
