case_number,date_of_occurrence,primary_description,latitude,longitude
JD403004,10/18/2020 06:20:00 AM,HOMICIDE,41.757097528,-87.642984742
JD389456,10/05/2020 01:58:00 PM,HOMICIDE,41.904129601,-87.749799834
JD443741,11/28/2020 06:34:00 AM,HOMICIDE,41.844534868,-87.703460313
JD270740,06/20/2020 08:31:00 PM,HOMICIDE,41.884848062,-87.76502469
JD410007,10/24/2020 08:52:00 PM,HOMICIDE,41.809916904,-87.629873094
JD444077,11/28/2020 02:26:00 PM,HOMICIDE,41.731108662,-87.551281448
JD264071,06/14/2020 07:30:00 PM,HOMICIDE,41.886344914,-87.760303336
JD409798,10/24/2020 05:01:00 PM,HOMICIDE,41.686544262,-87.61440711
JD466325,12/22/2020 01:37:00 PM,HOMICIDE,41.894591453,-87.719944973
JD410064,10/24/2020 11:25:00 PM,HOMICIDE,41.897974664,-87.718836374
JE103492,01/04/2021 10:40:00 PM,HOMICIDE,41.791735461,-87.632921214
JD333904,08/15/2020 10:28:00 PM,HOMICIDE,41.872682495,-87.714015459
JC461838,11/09/2020 12:45:00 AM,HOMICIDE,41.758120026,-87.57490513
JE103451,01/04/2021 08:54:00 PM,HOMICIDE,41.870831162,-87.716247283
JD445100,11/29/2020 06:12:00 PM,HOMICIDE,41.691665138,-87.671979744
JD444540,11/29/2020 01:30:00 AM,HOMICIDE,41.843311381,-87.641533952
JD444610,11/29/2020 03:52:00 AM,HOMICIDE,41.880924861,-87.757527885
JD444618,11/29/2020 04:52:00 AM,HOMICIDE,41.752212906,-87.611322009
JE133730,02/05/2021 09:45:00 PM,HOMICIDE,41.910800166,-87.745899903
JD293392,07/11/2020 04:20:00 PM,HOMICIDE,41.93290005,-87.681433987
JE121729,01/24/2021 08:20:00 AM,HOMICIDE,41.850057698,-87.697236236
JE108124,01/09/2021 05:09:00 PM,HOMICIDE,41.803181616,-87.585432024
JD410805,10/25/2020 09:15:00 PM,HOMICIDE,41.729393024,-87.660444906
JD272033,06/22/2020 05:21:00 AM,HOMICIDE,41.873510659,-87.720554136
JE104195,01/05/2021 07:22:00 PM,HOMICIDE,41.768355144,-87.619711453
JD445340,11/30/2020 03:05:00 AM,HOMICIDE,41.871520566,-87.625930316
JE121584,01/24/2021 01:46:00 AM,HOMICIDE,41.74962816,-87.665847864
JD397489,10/12/2020 08:00:00 PM,HOMICIDE,41.922355139,-87.658358835
JD274302,06/24/2020 03:43:00 AM,HOMICIDE,41.78764946,-87.688748852
JD269688,06/19/2020 10:25:00 PM,HOMICIDE,41.875876362,-87.74525413
JD282810,07/01/2020 11:39:00 PM,HOMICIDE,41.702219414,-87.565136847
JD464149,12/24/2020 05:50:00 PM,HOMICIDE,41.87227724,-87.720319917
JD412097,10/27/2020 02:14:00 AM,HOMICIDE,41.673478011,-87.621829238
JD438344,11/22/2020 03:55:00 AM,HOMICIDE,41.710837185,-87.603976896
JD448026,12/02/2020 08:05:00 PM,HOMICIDE,41.865738518,-87.755413681
JD448026,12/02/2020 08:05:00 PM,HOMICIDE,41.865738518,-87.755413681
JD468434,12/24/2020 12:34:00 PM,HOMICIDE,41.725266904,-87.566888138
JE121591,01/24/2021 01:25:00 AM,HOMICIDE,41.705020341,-87.651075074
JE104664,01/06/2021 07:56:00 AM,HOMICIDE,41.757720838,-87.64487292
JE104664,01/06/2021 05:10:00 AM,HOMICIDE,41.757720838,-87.64487292
JE133341,02/05/2021 03:18:00 PM,HOMICIDE,41.767453861,-87.685761929
JD413085,10/28/2020 06:13:00 AM,HOMICIDE,41.811512827,-87.655221014
JD448026,12/02/2020 08:05:00 PM,HOMICIDE,41.865738518,-87.755413681
JD413727,10/28/2020 06:32:00 PM,HOMICIDE,41.748404997,-87.626964756
JD401865,10/17/2020 12:45:00 AM,HOMICIDE,41.748629642,-87.601471454
JE114110,01/16/2021 01:19:00 AM,HOMICIDE,41.727087481,-87.587912472
JD358038,09/06/2020 01:41:00 AM,HOMICIDE,41.782763043,-87.650937196
JD278792,06/28/2020 07:51:00 AM,HOMICIDE,41.745910678,-87.553996731
JD448843,12/03/2020 08:40:00 PM,HOMICIDE,41.798127674,-87.703687573
JD469460,12/25/2020 09:41:00 PM,HOMICIDE,41.798935876,-87.707959582
JD414137,10/29/2020 08:46:00 AM,HOMICIDE,41.761782474,-87.564815341
JD442193,11/26/2020 03:04:00 AM,HOMICIDE,41.89778758,-87.715168733
JD469257,12/25/2020 11:18:00 PM,HOMICIDE,41.761832761,-87.592099464
JD414100,10/29/2020 08:14:00 AM,HOMICIDE,41.753567171,-87.564572519
JD374047,09/21/2020 03:32:00 AM,HOMICIDE,41.998582381,-87.683813832
